classifier_name,dataset_name,accuracy
1d-SAX,ACSF1,0.17
ESAX,ACSF1,0.19
SAX,ACSF1,0.27
SAX-DR,ACSF1,0.33
SAX_VFD,ACSF1,0.34
SFA,ACSF1,0.32
SPARTAN,ACSF1,0.58
TFSAX,ACSF1,0.23
1d-SAX,Adiac,0.1457800511508951
ESAX,Adiac,0.0690537084398976
SAX,Adiac,0.1150895140664961
SAX-DR,Adiac,0.1176470588235294
SAX_VFD,Adiac,0.1713554987212276
SFA,Adiac,0.3631713554987212
SPARTAN,Adiac,0.5703324808184144
TFSAX,Adiac,0.1457800511508951
1d-SAX,AllGestureWiimoteX,0.3371428571428571
ESAX,AllGestureWiimoteX,0.3614285714285714
SAX,AllGestureWiimoteX,0.3642857142857142
SAX-DR,AllGestureWiimoteX,0.2942857142857142
SAX_VFD,AllGestureWiimoteX,0.1942857142857142
SFA,AllGestureWiimoteX,0.3142857142857143
SPARTAN,AllGestureWiimoteX,0.3757142857142857
TFSAX,AllGestureWiimoteX,0.3185714285714285
1d-SAX,AllGestureWiimoteY,0.4214285714285714
ESAX,AllGestureWiimoteY,0.41
SAX,AllGestureWiimoteY,0.4128571428571428
SAX-DR,AllGestureWiimoteY,0.3528571428571428
SAX_VFD,AllGestureWiimoteY,0.2057142857142857
SFA,AllGestureWiimoteY,0.3657142857142857
SPARTAN,AllGestureWiimoteY,0.4171428571428571
TFSAX,AllGestureWiimoteY,0.3857142857142857
1d-SAX,AllGestureWiimoteZ,0.3542857142857142
ESAX,AllGestureWiimoteZ,0.3557142857142857
SAX,AllGestureWiimoteZ,0.3542857142857142
SAX-DR,AllGestureWiimoteZ,0.2985714285714286
SAX_VFD,AllGestureWiimoteZ,0.2285714285714285
SFA,AllGestureWiimoteZ,0.3171428571428571
SPARTAN,AllGestureWiimoteZ,0.3485714285714286
TFSAX,AllGestureWiimoteZ,0.3328571428571428
1d-SAX,ArrowHead,0.5657142857142857
ESAX,ArrowHead,0.4057142857142857
SAX,ArrowHead,0.64
SAX-DR,ArrowHead,0.5371428571428571
SAX_VFD,ArrowHead,0.4628571428571428
SFA,ArrowHead,0.6571428571428571
SPARTAN,ArrowHead,0.8171428571428572
TFSAX,ArrowHead,0.4742857142857143
1d-SAX,BME,0.72
ESAX,BME,0.7066666666666667
SAX,BME,0.7466666666666667
SAX-DR,BME,0.7333333333333333
SAX_VFD,BME,0.7333333333333333
SFA,BME,0.7933333333333333
SPARTAN,BME,0.9066666666666666
TFSAX,BME,0.7133333333333334
1d-SAX,Beef,0.4333333333333333
ESAX,Beef,0.3666666666666666
SAX,Beef,0.3666666666666666
SAX-DR,Beef,0.4666666666666667
SAX_VFD,Beef,0.4
SFA,Beef,0.6
SPARTAN,Beef,0.6
TFSAX,Beef,0.5
1d-SAX,BeetleFly,0.6
ESAX,BeetleFly,0.75
SAX,BeetleFly,0.7
SAX-DR,BeetleFly,0.5
SAX_VFD,BeetleFly,0.6
SFA,BeetleFly,0.7
SPARTAN,BeetleFly,0.55
TFSAX,BeetleFly,0.6
1d-SAX,BirdChicken,0.6
ESAX,BirdChicken,0.7
SAX,BirdChicken,0.7
SAX-DR,BirdChicken,0.5
SAX_VFD,BirdChicken,0.75
SFA,BirdChicken,0.55
SPARTAN,BirdChicken,0.6
TFSAX,BirdChicken,0.5
1d-SAX,CBF,0.9266666666666666
ESAX,CBF,0.8066666666666666
SAX,CBF,0.8544444444444445
SAX-DR,CBF,0.69
SAX_VFD,CBF,0.7111111111111111
SFA,CBF,0.8311111111111111
SPARTAN,CBF,0.8777777777777778
TFSAX,CBF,0.8177777777777778
1d-SAX,Car,0.6
ESAX,Car,0.35
SAX,Car,0.6166666666666667
SAX-DR,Car,0.3666666666666666
SAX_VFD,Car,0.5333333333333333
SFA,Car,0.7833333333333333
SPARTAN,Car,0.7
TFSAX,Car,0.6166666666666667
1d-SAX,Chinatown,0.9154518950437318
ESAX,Chinatown,0.8979591836734694
SAX,Chinatown,0.6297376093294461
SAX-DR,Chinatown,0.4314868804664723
SAX_VFD,Chinatown,0.5714285714285714
SFA,Chinatown,0.912536443148688
SPARTAN,Chinatown,0.9096209912536444
TFSAX,Chinatown,0.9504373177842566
1d-SAX,ChlorineConcentration,0.48203125
ESAX,ChlorineConcentration,0.37421875
SAX,ChlorineConcentration,0.2947916666666667
SAX-DR,ChlorineConcentration,0.3869791666666666
SAX_VFD,ChlorineConcentration,0.44609375
SFA,ChlorineConcentration,0.4713541666666667
SPARTAN,ChlorineConcentration,0.5294270833333333
TFSAX,ChlorineConcentration,0.3549479166666666
1d-SAX,CinCECGTorso,0.7057971014492753
ESAX,CinCECGTorso,0.6101449275362318
SAX,CinCECGTorso,0.7050724637681159
SAX-DR,CinCECGTorso,0.7833333333333333
SAX_VFD,CinCECGTorso,0.5760869565217391
SFA,CinCECGTorso,0.7057971014492753
SPARTAN,CinCECGTorso,0.7847826086956522
TFSAX,CinCECGTorso,0.5550724637681159
1d-SAX,Coffee,0.5357142857142857
ESAX,Coffee,0.3928571428571428
SAX,Coffee,0.5714285714285714
SAX-DR,Coffee,0.5357142857142857
SAX_VFD,Coffee,0.8214285714285714
SFA,Coffee,0.8928571428571429
SPARTAN,Coffee,0.9642857142857144
TFSAX,Coffee,0.5357142857142857
1d-SAX,Computers,0.508
ESAX,Computers,0.512
SAX,Computers,0.464
SAX-DR,Computers,0.516
SAX_VFD,Computers,0.488
SFA,Computers,0.504
SPARTAN,Computers,0.496
TFSAX,Computers,0.512
1d-SAX,CricketX,0.4743589743589743
ESAX,CricketX,0.3948717948717948
SAX,CricketX,0.4487179487179487
SAX-DR,CricketX,0.3435897435897436
SAX_VFD,CricketX,0.2461538461538461
SFA,CricketX,0.4897435897435897
SPARTAN,CricketX,0.5384615384615384
TFSAX,CricketX,0.3512820512820512
1d-SAX,CricketY,0.4871794871794871
ESAX,CricketY,0.3897435897435897
SAX,CricketY,0.4743589743589743
SAX-DR,CricketY,0.3307692307692307
SAX_VFD,CricketY,0.2256410256410256
SFA,CricketY,0.4974358974358974
SPARTAN,CricketY,0.5025641025641026
TFSAX,CricketY,0.3717948717948718
1d-SAX,CricketZ,0.4564102564102564
ESAX,CricketZ,0.3974358974358974
SAX,CricketZ,0.4743589743589743
SAX-DR,CricketZ,0.3153846153846154
SAX_VFD,CricketZ,0.2769230769230769
SFA,CricketZ,0.5230769230769231
SPARTAN,CricketZ,0.4948717948717949
TFSAX,CricketZ,0.3512820512820512
1d-SAX,Crop,0.4791071428571428
ESAX,Crop,0.4792857142857142
SAX,Crop,0.4948809523809523
SAX-DR,Crop,0.4598809523809524
SAX_VFD,Crop,0.3125595238095238
SFA,Crop,0.5969047619047619
SPARTAN,Crop,0.6042261904761905
TFSAX,Crop,0.4982738095238095
1d-SAX,DiatomSizeReduction,0.7843137254901961
ESAX,DiatomSizeReduction,0.7908496732026143
SAX,DiatomSizeReduction,0.8104575163398693
SAX-DR,DiatomSizeReduction,0.7941176470588235
SAX_VFD,DiatomSizeReduction,0.7418300653594772
SFA,DiatomSizeReduction,0.8562091503267973
SPARTAN,DiatomSizeReduction,0.8006535947712419
TFSAX,DiatomSizeReduction,0.7647058823529411
1d-SAX,DistalPhalanxOutlineAgeGroup,0.697841726618705
ESAX,DistalPhalanxOutlineAgeGroup,0.6330935251798561
SAX,DistalPhalanxOutlineAgeGroup,0.4748201438848921
SAX-DR,DistalPhalanxOutlineAgeGroup,0.6690647482014388
SAX_VFD,DistalPhalanxOutlineAgeGroup,0.5683453237410072
SFA,DistalPhalanxOutlineAgeGroup,0.6187050359712231
SPARTAN,DistalPhalanxOutlineAgeGroup,0.6402877697841727
TFSAX,DistalPhalanxOutlineAgeGroup,0.4820143884892086
1d-SAX,DistalPhalanxOutlineCorrect,0.5869565217391305
ESAX,DistalPhalanxOutlineCorrect,0.644927536231884
SAX,DistalPhalanxOutlineCorrect,0.6630434782608695
SAX-DR,DistalPhalanxOutlineCorrect,0.5760869565217391
SAX_VFD,DistalPhalanxOutlineCorrect,0.6485507246376812
SFA,DistalPhalanxOutlineCorrect,0.6159420289855072
SPARTAN,DistalPhalanxOutlineCorrect,0.7355072463768116
TFSAX,DistalPhalanxOutlineCorrect,0.5507246376811594
1d-SAX,DistalPhalanxTW,0.5755395683453237
ESAX,DistalPhalanxTW,0.539568345323741
SAX,DistalPhalanxTW,0.4964028776978417
SAX-DR,DistalPhalanxTW,0.5323741007194245
SAX_VFD,DistalPhalanxTW,0.5107913669064749
SFA,DistalPhalanxTW,0.5971223021582733
SPARTAN,DistalPhalanxTW,0.5611510791366906
TFSAX,DistalPhalanxTW,0.5683453237410072
1d-SAX,DodgerLoopDay,0.4375
ESAX,DodgerLoopDay,0.4
SAX,DodgerLoopDay,0.475
SAX-DR,DodgerLoopDay,0.3125
SAX_VFD,DodgerLoopDay,0.25
SFA,DodgerLoopDay,0.3875
SPARTAN,DodgerLoopDay,0.5375
TFSAX,DodgerLoopDay,0.35
1d-SAX,DodgerLoopGame,0.7753623188405797
ESAX,DodgerLoopGame,0.8043478260869565
SAX,DodgerLoopGame,0.7028985507246377
SAX-DR,DodgerLoopGame,0.644927536231884
SAX_VFD,DodgerLoopGame,0.6666666666666666
SFA,DodgerLoopGame,0.8913043478260869
SPARTAN,DodgerLoopGame,0.8623188405797102
TFSAX,DodgerLoopGame,0.6014492753623188
1d-SAX,DodgerLoopWeekend,0.9855072463768116
ESAX,DodgerLoopWeekend,0.9202898550724636
SAX,DodgerLoopWeekend,0.9565217391304348
SAX-DR,DodgerLoopWeekend,0.9130434782608696
SAX_VFD,DodgerLoopWeekend,0.8405797101449275
SFA,DodgerLoopWeekend,0.9637681159420288
SPARTAN,DodgerLoopWeekend,0.9057971014492754
TFSAX,DodgerLoopWeekend,0.9855072463768116
1d-SAX,ECG200,0.86
ESAX,ECG200,0.78
SAX,ECG200,0.8
SAX-DR,ECG200,0.81
SAX_VFD,ECG200,0.72
SFA,ECG200,0.86
SPARTAN,ECG200,0.86
TFSAX,ECG200,0.78
1d-SAX,ECG5000,0.9193333333333332
ESAX,ECG5000,0.8702222222222222
SAX,ECG5000,0.9175555555555556
SAX-DR,ECG5000,0.8977777777777778
SAX_VFD,ECG5000,0.8733333333333333
SFA,ECG5000,0.9248888888888888
SPARTAN,ECG5000,0.922
TFSAX,ECG5000,0.9013333333333332
1d-SAX,ECGFiveDays,0.8559814169570267
ESAX,ECGFiveDays,0.7038327526132404
SAX,ECGFiveDays,0.7212543554006968
SAX-DR,ECGFiveDays,0.6364692218350755
SAX_VFD,ECGFiveDays,0.7514518002322881
SFA,ECGFiveDays,0.89198606271777
SPARTAN,ECGFiveDays,0.7038327526132404
TFSAX,ECGFiveDays,0.6260162601626016
1d-SAX,EOGHorizontalSignal,0.3397790055248619
ESAX,EOGHorizontalSignal,0.3453038674033149
SAX,EOGHorizontalSignal,0.3149171270718232
SAX-DR,EOGHorizontalSignal,0.3038674033149171
SAX_VFD,EOGHorizontalSignal,0.2734806629834254
SFA,EOGHorizontalSignal,0.3232044198895027
SPARTAN,EOGHorizontalSignal,0.3895027624309392
TFSAX,EOGHorizontalSignal,0.2845303867403315
1d-SAX,EOGVerticalSignal,0.3038674033149171
ESAX,EOGVerticalSignal,0.3121546961325966
SAX,EOGVerticalSignal,0.281767955801105
SAX-DR,EOGVerticalSignal,0.2762430939226519
SAX_VFD,EOGVerticalSignal,0.3232044198895027
SFA,EOGVerticalSignal,0.3066298342541436
SPARTAN,EOGVerticalSignal,0.4281767955801105
TFSAX,EOGVerticalSignal,0.3093922651933701
1d-SAX,Earthquakes,0.6906474820143885
ESAX,Earthquakes,0.7050359712230215
SAX,Earthquakes,0.6906474820143885
SAX-DR,Earthquakes,0.6330935251798561
SAX_VFD,Earthquakes,0.6330935251798561
SFA,Earthquakes,0.6474820143884892
SPARTAN,Earthquakes,0.6906474820143885
TFSAX,Earthquakes,0.6690647482014388
1d-SAX,ElectricDevices,0.4859291920632862
ESAX,ElectricDevices,0.5358578653871093
SAX,ElectricDevices,0.4776293606536117
SAX-DR,ElectricDevices,0.345739852159253
SAX_VFD,ElectricDevices,0.4120088185708728
SFA,ElectricDevices,0.4946180780702892
SPARTAN,ElectricDevices,0.5101802619634289
TFSAX,ElectricDevices,0.4860588769290623
1d-SAX,EthanolLevel,0.244
ESAX,EthanolLevel,0.246
SAX,EthanolLevel,0.254
SAX-DR,EthanolLevel,0.256
SAX_VFD,EthanolLevel,0.266
SFA,EthanolLevel,0.258
SPARTAN,EthanolLevel,0.25
TFSAX,EthanolLevel,0.24
1d-SAX,FaceAll,0.4497041420118343
ESAX,FaceAll,0.385207100591716
SAX,FaceAll,0.4467455621301775
SAX-DR,FaceAll,0.2526627218934911
SAX_VFD,FaceAll,0.2662721893491124
SFA,FaceAll,0.6668639053254438
SPARTAN,FaceAll,0.5757396449704142
TFSAX,FaceAll,0.3473372781065089
1d-SAX,FaceFour,0.6363636363636364
ESAX,FaceFour,0.4431818181818182
SAX,FaceFour,0.6136363636363636
SAX-DR,FaceFour,0.4545454545454545
SAX_VFD,FaceFour,0.6363636363636364
SFA,FaceFour,0.7954545454545454
SPARTAN,FaceFour,0.7272727272727273
TFSAX,FaceFour,0.4659090909090909
1d-SAX,FacesUCR,0.4395121951219512
ESAX,FacesUCR,0.4365853658536585
SAX,FacesUCR,0.5053658536585366
SAX-DR,FacesUCR,0.2560975609756097
SAX_VFD,FacesUCR,0.3
SFA,FacesUCR,0.6673170731707317
SPARTAN,FacesUCR,0.6024390243902439
TFSAX,FacesUCR,0.4380487804878049
1d-SAX,FiftyWords,0.5560439560439561
ESAX,FiftyWords,0.4659340659340659
SAX,FiftyWords,0.5912087912087912
SAX-DR,FiftyWords,0.4813186813186813
SAX_VFD,FiftyWords,0.3142857142857143
SFA,FiftyWords,0.5296703296703297
SPARTAN,FiftyWords,0.5516483516483517
TFSAX,FiftyWords,0.5648351648351648
1d-SAX,Fish,0.2685714285714285
ESAX,Fish,0.1771428571428571
SAX,Fish,0.2457142857142857
SAX-DR,Fish,0.3142857142857143
SAX_VFD,Fish,0.4742857142857143
SFA,Fish,0.6857142857142857
SPARTAN,Fish,0.7428571428571429
TFSAX,Fish,0.3485714285714286
1d-SAX,FordA,0.5181818181818182
ESAX,FordA,0.5431818181818182
SAX,FordA,0.5583333333333333
SAX-DR,FordA,0.5106060606060606
SAX_VFD,FordA,0.5121212121212121
SFA,FordA,0.6
SPARTAN,FordA,0.6166666666666667
TFSAX,FordA,0.5401515151515152
1d-SAX,FordB,0.519753086419753
ESAX,FordB,0.5061728395061729
SAX,FordB,0.5
SAX-DR,FordB,0.5160493827160494
SAX_VFD,FordB,0.5172839506172839
SFA,FordB,0.5259259259259259
SPARTAN,FordB,0.5395061728395062
TFSAX,FordB,0.4888888888888889
1d-SAX,FreezerRegularTrain,0.6235087719298246
ESAX,FreezerRegularTrain,0.5119298245614035
SAX,FreezerRegularTrain,0.5343859649122807
SAX-DR,FreezerRegularTrain,0.6792982456140351
SAX_VFD,FreezerRegularTrain,0.7028070175438597
SFA,FreezerRegularTrain,0.7898245614035088
SPARTAN,FreezerRegularTrain,0.7828070175438596
TFSAX,FreezerRegularTrain,0.639298245614035
1d-SAX,FreezerSmallTrain,0.6989473684210527
ESAX,FreezerSmallTrain,0.7105263157894737
SAX,FreezerSmallTrain,0.5642105263157895
SAX-DR,FreezerSmallTrain,0.6950877192982456
SAX_VFD,FreezerSmallTrain,0.6101754385964913
SFA,FreezerSmallTrain,0.6950877192982456
SPARTAN,FreezerSmallTrain,0.6645614035087719
TFSAX,FreezerSmallTrain,0.7178947368421053
1d-SAX,Fungi,0.6935483870967742
ESAX,Fungi,0.478494623655914
SAX,Fungi,0.5913978494623656
SAX-DR,Fungi,0.5
SAX_VFD,Fungi,0.5752688172043011
SFA,Fungi,0.7526881720430108
SPARTAN,Fungi,0.8118279569892473
TFSAX,Fungi,0.5161290322580645
1d-SAX,GestureMidAirD1,0.4384615384615384
ESAX,GestureMidAirD1,0.3923076923076923
SAX,GestureMidAirD1,0.4153846153846154
SAX-DR,GestureMidAirD1,0.3076923076923077
SAX_VFD,GestureMidAirD1,0.2461538461538461
SFA,GestureMidAirD1,0.4461538461538462
SPARTAN,GestureMidAirD1,0.4846153846153846
TFSAX,GestureMidAirD1,0.4230769230769231
1d-SAX,GestureMidAirD2,0.4384615384615384
ESAX,GestureMidAirD2,0.4230769230769231
SAX,GestureMidAirD2,0.4692307692307692
SAX-DR,GestureMidAirD2,0.3230769230769231
SAX_VFD,GestureMidAirD2,0.2615384615384615
SFA,GestureMidAirD2,0.4307692307692308
SPARTAN,GestureMidAirD2,0.5230769230769231
TFSAX,GestureMidAirD2,0.4
1d-SAX,GestureMidAirD3,0.2153846153846154
ESAX,GestureMidAirD3,0.2
SAX,GestureMidAirD3,0.2
SAX-DR,GestureMidAirD3,0.1769230769230769
SAX_VFD,GestureMidAirD3,0.1307692307692307
SFA,GestureMidAirD3,0.2076923076923077
SPARTAN,GestureMidAirD3,0.2769230769230769
TFSAX,GestureMidAirD3,0.2384615384615384
1d-SAX,GesturePebbleZ1,0.9127906976744186
ESAX,GesturePebbleZ1,0.7034883720930233
SAX,GesturePebbleZ1,0.9302325581395348
SAX-DR,GesturePebbleZ1,0.8430232558139535
SAX_VFD,GesturePebbleZ1,0.3488372093023256
SFA,GesturePebbleZ1,0.8081395348837209
SPARTAN,GesturePebbleZ1,0.8081395348837209
TFSAX,GesturePebbleZ1,0.877906976744186
1d-SAX,GesturePebbleZ2,0.9113924050632912
ESAX,GesturePebbleZ2,0.7341772151898734
SAX,GesturePebbleZ2,0.8734177215189873
SAX-DR,GesturePebbleZ2,0.7658227848101266
SAX_VFD,GesturePebbleZ2,0.4620253164556962
SFA,GesturePebbleZ2,0.759493670886076
SPARTAN,GesturePebbleZ2,0.8164556962025317
TFSAX,GesturePebbleZ2,0.8924050632911392
1d-SAX,GunPoint,0.8733333333333333
ESAX,GunPoint,0.96
SAX,GunPoint,0.9133333333333332
SAX-DR,GunPoint,0.8666666666666667
SAX_VFD,GunPoint,0.7866666666666666
SFA,GunPoint,0.8533333333333334
SPARTAN,GunPoint,0.88
TFSAX,GunPoint,0.8733333333333333
1d-SAX,GunPointAgeSpan,0.8860759493670886
ESAX,GunPointAgeSpan,0.9240506329113924
SAX,GunPointAgeSpan,0.8892405063291139
SAX-DR,GunPointAgeSpan,0.8512658227848101
SAX_VFD,GunPointAgeSpan,0.8734177215189873
SFA,GunPointAgeSpan,0.8607594936708861
SPARTAN,GunPointAgeSpan,0.8765822784810127
TFSAX,GunPointAgeSpan,0.9050632911392406
1d-SAX,GunPointMaleVersusFemale,0.9462025316455696
ESAX,GunPointMaleVersusFemale,0.8765822784810127
SAX,GunPointMaleVersusFemale,0.9208860759493672
SAX-DR,GunPointMaleVersusFemale,0.8386075949367089
SAX_VFD,GunPointMaleVersusFemale,0.8639240506329114
SFA,GunPointMaleVersusFemale,0.9588607594936708
SPARTAN,GunPointMaleVersusFemale,0.971518987341772
TFSAX,GunPointMaleVersusFemale,0.9335443037974684
1d-SAX,GunPointOldVersusYoung,0.8603174603174604
ESAX,GunPointOldVersusYoung,0.8126984126984127
SAX,GunPointOldVersusYoung,0.8888888888888888
SAX-DR,GunPointOldVersusYoung,0.7936507936507936
SAX_VFD,GunPointOldVersusYoung,0.8761904761904762
SFA,GunPointOldVersusYoung,0.923809523809524
SPARTAN,GunPointOldVersusYoung,0.9333333333333332
TFSAX,GunPointOldVersusYoung,0.8126984126984127
1d-SAX,Ham,0.4380952380952381
ESAX,Ham,0.4666666666666667
SAX,Ham,0.4476190476190476
SAX-DR,Ham,0.5619047619047619
SAX_VFD,Ham,0.4952380952380952
SFA,Ham,0.6
SPARTAN,Ham,0.5333333333333333
TFSAX,Ham,0.4571428571428571
1d-SAX,HandOutlines,0.6513513513513514
ESAX,HandOutlines,0.8081081081081081
SAX,HandOutlines,0.7378378378378379
SAX-DR,HandOutlines,0.6027027027027027
SAX_VFD,HandOutlines,0.6297297297297297
SFA,HandOutlines,0.8432432432432433
SPARTAN,HandOutlines,0.8
TFSAX,HandOutlines,0.6054054054054054
1d-SAX,Haptics,0.2987012987012987
ESAX,Haptics,0.3441558441558441
SAX,Haptics,0.3766233766233766
SAX-DR,Haptics,0.2824675324675325
SAX_VFD,Haptics,0.3506493506493506
SFA,Haptics,0.3506493506493506
SPARTAN,Haptics,0.4025974025974026
TFSAX,Haptics,0.2792207792207792
1d-SAX,Herring,0.515625
ESAX,Herring,0.484375
SAX,Herring,0.515625
SAX-DR,Herring,0.46875
SAX_VFD,Herring,0.640625
SFA,Herring,0.46875
SPARTAN,Herring,0.5625
TFSAX,Herring,0.65625
1d-SAX,HouseTwenty,0.6890756302521008
ESAX,HouseTwenty,0.7226890756302521
SAX,HouseTwenty,0.6722689075630253
SAX-DR,HouseTwenty,0.6974789915966386
SAX_VFD,HouseTwenty,0.7563025210084033
SFA,HouseTwenty,0.7058823529411765
SPARTAN,HouseTwenty,0.7058823529411765
TFSAX,HouseTwenty,0.680672268907563
1d-SAX,InlineSkate,0.2945454545454545
ESAX,InlineSkate,0.249090909090909
SAX,InlineSkate,0.2345454545454545
SAX-DR,InlineSkate,0.2618181818181818
SAX_VFD,InlineSkate,0.1963636363636363
SFA,InlineSkate,0.2672727272727273
SPARTAN,InlineSkate,0.2836363636363636
TFSAX,InlineSkate,0.2672727272727273
1d-SAX,InsectEPGRegularTrain,0.6746987951807228
ESAX,InsectEPGRegularTrain,0.6305220883534136
SAX,InsectEPGRegularTrain,0.6626506024096386
SAX-DR,InsectEPGRegularTrain,0.6827309236947792
SAX_VFD,InsectEPGRegularTrain,0.7068273092369478
SFA,InsectEPGRegularTrain,0.6546184738955824
SPARTAN,InsectEPGRegularTrain,0.7068273092369478
TFSAX,InsectEPGRegularTrain,0.5943775100401606
1d-SAX,InsectEPGSmallTrain,0.6506024096385542
ESAX,InsectEPGSmallTrain,0.6385542168674698
SAX,InsectEPGSmallTrain,0.678714859437751
SAX-DR,InsectEPGSmallTrain,0.6706827309236948
SAX_VFD,InsectEPGSmallTrain,0.6104417670682731
SFA,InsectEPGSmallTrain,0.6024096385542169
SPARTAN,InsectEPGSmallTrain,0.6506024096385542
TFSAX,InsectEPGSmallTrain,0.6104417670682731
1d-SAX,InsectWingbeatSound,0.4853535353535353
ESAX,InsectWingbeatSound,0.3535353535353535
SAX,InsectWingbeatSound,0.4686868686868687
SAX-DR,InsectWingbeatSound,0.3702020202020202
SAX_VFD,InsectWingbeatSound,0.1777777777777777
SFA,InsectWingbeatSound,0.4833333333333333
SPARTAN,InsectWingbeatSound,0.5055555555555555
TFSAX,InsectWingbeatSound,0.4277777777777777
1d-SAX,ItalyPowerDemand,0.9387755102040816
ESAX,ItalyPowerDemand,0.8950437317784257
SAX,ItalyPowerDemand,0.9310009718172984
SAX-DR,ItalyPowerDemand,0.9290573372206026
SAX_VFD,ItalyPowerDemand,0.7259475218658892
SFA,ItalyPowerDemand,0.9552964042759962
SPARTAN,ItalyPowerDemand,0.9300291545189504
TFSAX,ItalyPowerDemand,0.932944606413994
1d-SAX,LargeKitchenAppliances,0.4026666666666667
ESAX,LargeKitchenAppliances,0.368
SAX,LargeKitchenAppliances,0.3786666666666666
SAX-DR,LargeKitchenAppliances,0.3786666666666666
SAX_VFD,LargeKitchenAppliances,0.3946666666666666
